"Cannot identify measure unit for %s","Masseinheit für %s konnte nicht erkannt werden"
"First-Class Mail International Large Envelope","First-Class Mail International grosser Umschlag"
"First-Class Mail Large Envelope","First-Class Mail grosser Umschlag"
"First-Class Mail Large Postcards","First-Class Mail grosse Postkarten"
"Height, width and length should be equal or greater than %s","Höhe, Breite und Länge sollten grössergleich %s sein"
"Large","Gross"
"Large Express Box","Grosse Express-Box"
"Package Description","Paketbeschrieb"
"Size","Grösse"
"Wrong Region.","Falscher Kanton/Bundesland"
