"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Achtung!</strong> Wenn Sie den Store-Code in URLs verwenden, kann es passieren, dass das System nicht ordnungsgemäss arbeitet, wenn URLs ohne Laden-Kode im Dritthersteller-Anwendungen (PayPal o.ä.) verwendet werden."
"Default","voreingestellt"
"Default Country","Land (voreingestellt)"
"Default Description","Beschrieb (voreingestellt)"
"Default Keywords","Schlagwörter (voreingestellt)"
"Default No-route URL","No-Route URL (voreingestellt)"
"Default Pages","Seiten (voreingestellt)"
"Default Robots","Robots (voreingestellt)"
"Default Store","Store (voreingestellt)"
"Default Store View","Store View (voreingestellt)"
"Default Title","Standard Titel (voreingestellt)"
"Default Web URL","Web-URL (voreingestellt)"
"Footer","Fusszeile"
"Login is Case Sensitive","Login ist Case Sensitive:<br />Unterscheidung von Gross- und Kleinschreibung"
"Please enter a number 0 or greater in this field.","Bitte tragen Sie eine Zahl grösser/gleich 0 in dieses Feld ein."
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl grösser/gleich 1 in dieses Feld ein."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl grösser 0 in dieses Feld ein."
"Please enter a number lower than 100.","Bitte tragen Sie keine Zahl grösser/gleich 100 in dieses Feld ein."
"Please select State/Province.","Bitte Kanton wählen."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte nur Ziffern in diesem Feld verwenden. Vermeiden Sie Leerschlag oder andere Zeichen (z. B. Punkt oder Komma)."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Bitte nur Buchstaben (a-z oder A-Z), Ziffern (0-9), Leerschlag oder # für dieses Feld verwenden."
"This will be displayed just before body closing tag.","Dies wird vor dem schliessenden Body-Tag ausgegeben."
"This will be included before head closing tag in page HTML.","Dies wird vor dem schliessenden head-Tag in die HTML-Seite eingefügt."
"Welcome Text","Begrüssungstext"
