"Close","Schliessen"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","Standardlogo, wird in PDF- und HTML-Dokumenten verwendet.<br />(jpeg, tiff, png) Sollten Verzerrungen im PDF auftreten, versuchen Sie bitte ein grösseres Bild zu verwenden"
"Description Message","Beschrieb"
"Failed to finish billing agreement wizard.","Fehler beim Abschliessen des Zahlungsvereinbarungs-Assistenten."
"If empty, the default description above will be used.","Wenn leer, wird der Standard-Beschrieb (siehe oben) verwendet."
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo ausschliesslich für HTML Dokumente. Wenn leer, wird das Standardlogo verwendet.<br />(jpeg, gif, png)"
"Multi-address Description Message","Mehrfach-Adressen Beschrieb"
"Retrieve list of credit memos by filters","Rechnungskorrekturliste gemäss Filter abfragen"
"Retrieve list of invoices by filters","Rechnungsliste gemäss Filter abfragen"
"Retrieve list of orders by filters","Bestellliste gemäss Filter abfragen"
"Retrieve list of shipments by filters","Versandliste gemäss Filter abfragen"
"Size","Grösse"
"State/Province","Kanton/Bundesland"
"Street Address","Strasse"
